"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","exp_stage","problem_time","correct","exp_id"
"1828","13","text","0","1830","0.0-0.0","s639","","","","","","","","","","","","","","","","","",""
"1690","89","poldrack-text","1","4523","0.0-1.0","s639","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1690","500","fmri_response_test","","","","","","","","","","","","","",""
"758","71","poldrack-text","2","5783","0.0-2.0","s639","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","758","500","fmri_response_test","","","","","","","","","","","","","",""
"2279","82","poldrack-text","3","8564","0.0-3.0","s639","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","2279","500","fmri_response_test","","","","","","","","","","","","","",""
"20874","32","poldrack-single-stim","4","29942","0.0-4.0","s639","","20874","0","instructions","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","20874","","","","","","","","","","",""
"29114","32","poldrack-text","5","59056","0.0-5.0","s639","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","29114","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1348","84","poldrack-text","6","60406","0.0-6.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1348","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","61086","0.0-7.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","8","61765","0.0-8.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","9","62446","0.0-9.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","10","63126","0.0-10.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","63805","0.0-11.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","12","64486","0.0-12.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","13","65166","0.0-13.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","14","65846","0.0-14.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","15","66526","0.0-15.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","16","67205","0.0-16.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"681","84","poldrack-text","17","67886","0.0-17.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","18","68566","0.0-18.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"681","84","poldrack-text","19","69247","0.0-19.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","20","69926","0.0-20.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","21","70606","0.0-21.0","s639","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","71609","0.0-22.0","s639","","1000","0","fmri_buffer","","none","1000","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","23","73112","0.0-23.0","s639","","1500","500","practice_start_block","<div class = centerbox><div class = center-text>About to start practice</p></div>","none","1500","","","","","","","","","","",""
"4460","71","poldrack-single-stim","24","78075","0.0-24.0-0.0-0.0","s639","","4460","0","to_hand","<div class = watt_canvas><div class=""watt_vertical_line""></div></div><div class = watt_your_board><div class = watt_base></div><div class = watt_board_label><strong>Your Board</strong></div><div id = watt_peg_1><div class = watt_peg></div></div><div class = special id = watt_peg_1 onclick = ""pegClick(this.id)""><div class = ""watt_ball watt_Red""><div class = watt_ball_label>R</div></div></div><div id = watt_peg_2><div class = watt_peg></div></div><div class = special id = watt_peg_2 onclick = ""pegClick(this.id)""><div class = ""watt_ball watt_Blue""><div class = watt_ball_label>B</div></div><div class = ""watt_ball watt_Green""><div class = watt_ball_label>G</div></div></div><div id = watt_peg_3><div class = watt_peg></div></div><div id = watt_peg_3 onclick = ""pegClick(this.id)""></div></div><div class = watt_peg_board><div class = watt_base></div><div class = watt_board_label><strong>Target Board</strong></div><div id = watt_peg_1><div class = watt_peg></div></div><div id = watt_peg_1 ><div class = ""watt_ball watt_Red""><div class = watt_ball_label>R</div></div><div class = ""watt_ball watt_Blue""><div class = watt_ball_label>B</div></div><div class = ""watt_ball watt_Green""><div class = watt_ball_label>G</div></div></div><div id = watt_peg_2><div class = watt_peg></div></div><div id = watt_peg_2 ></div><div id = watt_peg_3><div class = watt_peg></div></div><div id = watt_peg_3 ></div></div><div class = watt_hand_box></div><div class = watt_hand_label><strong>Ball in Hand</strong></div>","89,71","4460","1,0,0,2,0,0,0,0,0","1","3","1,0,0,2,3,0,0,0,0","1,2,3,0,0,0,0,0,0","UA_with_intermeidate","0","practice","","",""
